Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Afghanistan,AFG,..,..,1189.78466765718,1235.81006329565,1200.27801321734,1286.79365893927,1315.78911741835,1460.8257513794,1484.11446132539,1758.90447663765,1957.02906990812,1904.55992565594,2075.49161435331,2116.46525771251,2102.38460375974,2068.26590413364
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Albania,ALB,5893.13623256329,6441.85345238676,6754.53600301332,7154.78482512179,7580.62909108667,8040.87871678112,8569.19111251045,9150.51874704368,9912.57724242974,10313.926441304,10749.4874481658,11052.7904635136,11227.9944871972,11361.2936763788,11586.8637666424,11878.4880933446
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Algeria,DZA,8710.45514928455,8855.02018576846,9232.42752284659,9771.68485621459,10058.4390154947,10504.8584676293,10527.4220783457,10717.7844636359,10796.9025638468,10782.3610927014,10970.7063686682,11078.2423287826,11233.53132033,11319.0970588002,11512.7051094875,11696.9652290603
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Angola,AGO,4727.96631394756,4766.83673589953,5240.8394329332,5218.20771212651,5593.24362419081,6210.2221878264,6681.10102767941,7341.86519904765,7864.37457862612,7643.49578596548,7692.43428623311,7675.44608452759,8036.69240208792,8140.52597328045,8239.8306720725,8036.41089824639
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Antigua and Barbuda,ATG,18313.3497055005,17207.6512135618,17143.3260283248,17952.7791441441,18743.286854691,19683.5410828179,21848.8881268378,23510.7076526761,23131.577653176,20047.716006336,18205.7385326292,17605.1701396079,17966.0643624765,17642.860867551,18104.4073367164,18594.2616238259
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Argentina,ARG,18625.2835537811,17610.7553863202,15523.0387763102,16714.6701331846,18032.6114274365,19426.4401434847,20777.6527103251,22424.1177287545,23103.4565215341,21519.8936160174,23521.2701750961,24647.6292739541,24118.8675158912,24424.1364465071,23550.0990599374,23933.8866120953
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Armenia,ARM,4048.24990407114,4464.38583116475,5081.51855787396,5823.716092618,6472.14199852835,7419.87119017403,8464.48572583781,9708.41539720344,10467.5298136022,9052.38354922249,9286.19732701296,9725.27822960819,10397.654656654,10691.2767474722,11019.838784895,11321.3325403745
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Aruba,ABW,41499.6385368811,39388.3526308389,37256.6597201842,37200.0588504797,39440.6678569856,39407.1909679879,39504.4687300445,40058.3133138128,39968.2786852008,35731.9896000615,34343.1513198843,35392.605185777,34732.4958463381,35980.1645924769,35875.6298298588,37715.9266182631
